Reaction name,reaction_id,gene_reaction_relation,HU_treatment,Temperature_treatment_5 vs. -10,Temperature_treatment_30 vs. 5,Temperature_treatment_60 vs. 30,Temperature_treatment_60 vs.  -10,Oxygen_treatment_26vs1.5 hyb_1 transcript,Oxygen_treatment_26vs1.5 hyb_2 transcript,Oxygen_treatment_21vs1.5 hyb_1 transcript,Oxygen_treatment_21vs1.5 hyb_2 transcript
ABC transport,T_ABC__transporter_beta__D__glucose,(SSO2847 and SSO3066 and SSO2848 and SSO3067 and SSO2849 and SSO3068 and SSO2850 and SSO3069),"[-0.26662233951901165, -0.8947694853223747, 0.10391017551993895, 0.8112082569826355, 0.09131629245028122, 0.22624585435879047, -0.20092541479818732, 0.3913050782417217]","[-1.1, -2.2, -3.6, -3.1, -4.3, -1.5, -2.7, 1.1]","[-1.2, -2.2, 1.2, 1.1, 1.5, -1, -1.1, -1.9]","[-1, -1.1, -1.3, -1.3, 1, -1.1, 1.2, -1.2]","[-1.3, -5.6, -3.8, -3.6, -2.8, -1.8, -2.6, -2]","['0.575615328', '-0.616357697', '0.55851652', '-0.794103899', '0.657445255', '-0.913033', '-0.462575888', '-1.032806145']","['0.380821784', '-2.997292408', '0.736965594', 'null', '0.668868078', '-2.065916918', '0.790858602', '-1.649385529']","['0.100051014', '-2.042644337', '0.430508908', 'null', '0.352915787', '-1.336283388', '-0.704871964', '-1.423309237']","['-0.365132593', '-2.556306784', '0.153606979', '-1.084064265', '-0.134878054', '-1.629939409', 'null', 'null']"
GDH,carb_entner_1.1.1.359_GLUCOSE__1__DEHYDROGENASE__NAD+__RXN,(SSO3003 or SSO3042 or SSO3204),"[0.3743444251285898, -0.35871665979026013, -0.17429190049859805]","[-2.8, -1.9, 1.1]","[1.4, 1.2, -1.3]","[-1, 1.2, -1.1]","[-2.1, -1.3, -1.3]","['null', 'null', '0.40545145']","['null', '0.118726939', '0.054392297']","['null', '-0.055195654', '0.215914857']","['null', '0.189351252', '-0.301002256']"
GDH,carb_entner_1.1.1.360_GLUCOSE__1__DEHYDROGENASE__NADP+__RXN,(SSO3003 or SSO3042 or SSO3204),"[0.3743444251285898, -0.35871665979026013, -0.17429190049859805]","[-2.8, -1.9, 1.1]","[1.4, 1.2, -1.3]","[-1, 1.2, -1.1]","[-2.1, -1.3, -1.3]","['null', 'null', '0.40545145']","['null', '0.118726939', '0.054392297']","['null', '-0.055195654', '0.215914857']","['null', '0.189351252', '-0.301002256']"
GL(Spontaneous),carb_entner_3.1.1.17_GLUCONOLACT__RXN,,,,,,,,,,
GAD,carb_entner_4.2.1.140_GLUCONATE__DEHYDRATASE__RXN,SSO3198,[-0.8310873630485544],[-1.2],[-1.7],[-1],[-2.2],['-0.008630305'],['0.008682243'],['-0.167357928'],['-0.021479727']
GAD,carb_degra__glucose_4.2.1.9_GLUCONATE__DEHYDRATASE__RXN,SSO3198,[-0.8310873630485544],[-1.2],[-1.7],[-1],[-2.2],['-0.008630305'],['0.008682243'],['-0.167357928'],['-0.021479727']
KDGK,carb_entner_2.7.1.178_DEOXYGLUCONOKIN__RXN,SSO3195,[-0.4936463027489816],[1.1],[-2],[1],[-1.8],['0.75389599'],['0.314732593'],['0.595096878'],['-0.155749233']
KDPGA,carb_entner_4.1.2.55_KDPGALDOL__RXN,SSO3197,[-1.0878627611959275],[-1.5],[-1.7],[-1.1],[-2.7],['-0.444667067'],['-0.160920188'],['-0.5290713'],['-0.489542936']
KDPGA,carb_entner_4.1.2.55_DHDOGALDOL__RXN,SSO3197,[-1.0878627611959275],[-1.5],[-1.7],[-1.1],[-2.7],['-0.444667067'],['-0.160920188'],['-0.5290713'],['-0.489542936']
GAPDH,carb_glucneo_1.2.1.13_GAPDHSYNEC__RXN_NAD,SSO0528,[0.21294896751859985],[-3.5],[2],[1.4],[-1.2],['0.327348371'],['0.093879047'],['0.411195433'],['0.590744853']
GAPDH,carb_glucneo_1.2.1.13_GAPDHSYNEC__RXN_NADP,SSO0528,[0.21294896751859985],[-3.5],[2],[1.4],[-1.2],['0.327348371'],['0.093879047'],['0.411195433'],['0.590744853']
PGK,carb_enter_glucneo_2.7.2.3_PHOSGLYPHOS__RXN,SSO0527,[0.6645702806749255],[-2.7],[1.8],[1.3],[-1.1],['0.371459681'],['0.3382504'],['0.432454552'],['0.19759996']
GAPN,carb_enter_glucneo_1.2.1.9_1.2.1.9__RXN,SSO3194,[0.532349085100118],[1.3],[-1.4],[-1.2],[-1.3],['1.214240226'],['1.161653263'],['1.535331733'],['1.20756107']
Spontaneous,other_no__pathway_3.6.1.7_BS165362,,,,,,,,,,
PGM,carb_enter_glucneo_5.4.2.1_3PGAREARR__RXN,(SSO0417 or SSO2236),"[-0.9175899028026856, -0.0956822772042409]","[-1.9, 1.7]","[1.6, -1.7]","[1.2, 1.3]","[1, 1.2]","['0.070966521', 'null']","['-0.220329955', '0.200912694']","['null', '0.042456799']","['-0.772307975', '0.272297327']"
ALDH,carb_entner_1.2.1.89_GLYCERALDEHYDE__DEHYDRO__RXN,(SSO2636 and SSO2637 and SSO2639),"[0.308708016450367, 0.26186962606511555, 0.1767367157893635]","[-1.1, 1, -1.3]","[1.1, 1.1, 1.4]","[-1.4, -1.3, -1.2]","[-1.4, -1.2, -1.2]","['-0.259423152', '-0.295135249', 'null']","['-1.900335509', '-1.539531071', '-1.416839742']","['-1.250961574', '-0.794935663', '-1.396159489']","['-1.294547234', '-0.768078435', '-1.129612738']"
GK,carb_entner_2.7.1.165_GKI__RXN,SSO0666,[0.8409556092766096],[-1.2],[1.2],[-1.1],[-1.1],['0.093879047'],['0.261880711'],['0.161653263'],['0.150400989']
ENO,carb_enter_glucneo_4.2.1.11_2PGADEHYDRAT__RXN,SSO0913,[-1.9753879859572385],[-1.5],[1.7],[-1.1],[-1],['0.64385619'],['-0.561692721'],['null'],['null']
PK,carb_enter_2.7.1.40_PEPDEPHOS__RXN,SSO0981,[0.586141793036381],[1.7],[1.4],[1.1],[2.7],['-0.565597176'],['0.808437349'],['null'],['0.422752464']
Methylglyoxal pathway,other_lactate__biosynthesis_3__dehydroquinate__biosynthesis_RXN__8075,SSO0305,[-0.15600167443088267],[-2.8],[-1.1],[1.6],[-1.9],['0.005782353'],['-0.55875743'],['null'],['-0.663572335']
Methylglyoxal pathway,spontaneous_lactate__biosynthesis_3__dehydroquinate__biosynthesis_RXN__10054,,,,,,,,,,
Methylglyoxal pathway,carb_degra__methylglyoxal_4.4.1.5_GLYOXI__RXN,SSO2426,[],[1.3],[-1.6],[1],[-1.1],['null'],['0.698997744'],['0.646112164'],['0.648371671']
Methylglyoxal pathway,carb_degra__methylglyoxal_3.1.2.6_GLYOXII__RXN,(SSO2072 or SSO2940 or SSO2890 or SSO1537 or SSO1157 or SSO2310 or SSO2515 or SSO0006 or SSO3132 or SSO1567),"[1.0336008866138435, -1.0367885237105006, -1.975387967661101, 0.319355219407531, 0.6412833435991662, -0.77375408157148, -0.09568219302167986, -0.6912919978738435, 0.9917805185203935, -1.3587166492817582]","[2.3, 2.1, -1, 2.1, 1.6, 1.7, 2.4, -3.8, 1.5, -1.1]","[1.1, -1.3, -2.3, 1.1, -1.1, 1, -2.2, 1.3, -1.3, 1.2]","[1.2, -1.8, 1.1, -1.2, 1, 1.2, -1.1, 1.2, -1.2, -1.1]","[2.8, -1.2, -2.2, 2, 1.4, 2.2, -1, -2.4, -1, -1]","['3.473931188', '-0.974529312', '-0.018634174', '-3.149584553', '-0.283329168', 'null', '-0.444667067', '1.038006323', 'null', '-0.216610069']","['0.268816758', '-0.059355278', '0.63039393', '-2.812087435', '-0.207892852', 'null', '-1.401630467', '-0.589763487', '-0.216610069', '0.432454552']","['0.612637459', '-0.088141597', '0.212567535', '-2.900528731', '-0.206643224', 'null', 'null', '0.078563669', 'null', '-0.012926174']","['0.316528107', '-0.219091058', '0.77349147', '-2.298365055', '-0.399444565', 'null', '-1.105678078', '-0.580145484', '-0.687956494', 'null']"
Methylglyoxal pathway,carb_degra__lactate_1.1.3.15_BS257489,(SSO3165 and SSO3163 and SSO3161),"[-1.99614667684825, -0.4451314119356317, -0.46889946873186167]","[-3.3, -4, -1.3]","[-1, 1.1, 1.1]","[-1.2, -1, 1.1]","[-4, -3.8, -1.2]","['0.192645078', '-0.708407983', '-0.539034703']","['-0.206643224', '-0.586884813', '-1.054501216']","['null', '-0.711935357', '-0.746742716']","['-0.227741076', '-0.270229907', '-1.126972856']"
Methylglyoxal pathway,carb_acetylcoa_1.2.7.1_PYRUFLAVREDUCT__RXN,(SSO11071 and SSO1206 and SSO1207 and SSO1208 and SSO2128 and SSO2129 and SSO2130 and SSO2756 and SSO2757 and SSO2758 and SSO7412),"[1.256942689563508, 2.100715024332077, 1.6668183069566505, 0.904317667315915, 1.2262458612785558, 0.22624581836206287, -0.5327460573430736, 1.6812496372281587, 1.4581925242807974, 1.3501175434279615, 1.2262457105266495]","[-2.8, 1.1, 1.4, 1.3, 1.6, -1, 1.4, -3.5, -3.3, -3.7, 1.6]","[2.9, 1.2, -1.2, -1, 1.1, 1.6, 1, 3.1, 4.6, 2.9, -1]","[1.1, -1.1, 1.5, 1.4, -1.4, -1.1, -1.2, 1.1, -1.2, 1.4, -1.1]","[1.1, 1.2, 1.7, 1.7, 1.3, 1.4, 1.2, -1, 1.2, 1.1, 1.4]","['0.069451881', 'null', '2.190997225', '2.727379545', '-1.510455622', '-1.955684776', '-1.752748591', '-0.522055749', '0.329159664', '-0.088141597', '2.836501268']","['0.036525876', 'null', '5.64385619', '5.265344567', 'null', '-3.080145979', '-2.560959458', '0.323732592', '-0.207892852', '-0.284514133', '5.573466862']","['0.286304185', '1.873027144', '6.158429363', '5.878321443', '-1.72900887', '-2.725086725', 'null', '-0.202887833', '0.59946207', '0.291592017', '6.265344567']","['0.483984853', 'null', '5.10780329', '5.506352666', 'null', 'null', '-2.314406508', '0.512513651', '0.19759996', '0.800877358', '5.965784285']"
