,reaction_id,Reaction name,pathway,genes,gene_reaction_rule,Unnamed: 5,Unnamed: 6,Array_67 70,Array_67 80,Array_68 70,Array_68 80,Array_86 70,Array_86 80,Array_85 70,Array_85 80,average_list_column_70,average_list_column_80
0,T_ABC__transporter_beta__D__glucose,ABC transport,,"2847,3066,2848,3067,2849,3068,2850,3069",and,,,142229.0,63180.0,,,196101.0,99840.0,215040.0,141324.0,184456.66666666666,101448.0
1,carb_entner_1.1.1.359_GLUCOSE__1__DEHYDROGENASE__NAD+__RXN,GDH,,"3003,3042,3204",or,,,105265.0,111072.0,134460.0,107596.0,134495.0,154112.0,150784.0,92612.0,131251.0,116348.0
2,carb_entner_1.1.1.47_GLUCOSE__1__DEHYDROGENASE__NAD+__RXN,GDH,,"3003,3042,3204",or,,,105265.0,111072.0,134460.0,107596.0,134495.0,154112.0,150784.0,92612.0,131251.0,116348.0
3,carb_entner_1.1.1.360_GLUCOSE__1__DEHYDROGENASE__NADP+__RXN,GDH,,"3003,3042,3204",or,,,105265.0,111072.0,134460.0,107596.0,134495.0,154112.0,150784.0,92612.0,131251.0,116348.0
4,carb_entner_3.1.1.17_GLUCONOLACT__RXN,GL,,spontaneous,,,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
5,carb_entner_4.2.1.140_GLUCONATE__DEHYDRATASE__RXN,GAD,,3198,,,,280937.0,74892.0,133668.0,70795.0,757917.0,331520.0,2173764.0,947797.0,836571.5,356251.0
6,carb_degra__glucose_4.2.1.9_GLUCONATE__DEHYDRATASE__RXN,GAD,,3198,,,,280937.0,74892.0,133668.0,70795.0,757917.0,331520.0,2173764.0,947797.0,836571.5,356251.0
7,carb_entner_2.7.1.178_DEOXYGLUCONOKIN__RXN,KDGK,,3195,,,,125645.0,149136.0,137904.0,130623.0,260022.0,259440.0,641520.0,474224.0,291272.75,253355.75
8,carb_entner_4.1.2.55_KDPGALDOL__RXN,KDPGA,,3197,,,,227031.0,124584.0,,,503293.0,293120.0,1061632.0,623200.0,597318.6666666666,346968.0
9,carb_entner_4.1.2.55_DHDOGALDOL__RXN,KDPGA,", (Non-phosphorylative pathway)",3197,,,,227031.0,124584.0,,,503293.0,293120.0,1061632.0,623200.0,597318.6666666666,346968.0
10,carb_glucneo_1.2.1.13_GAPDHSYNEC__RXN_NAD,GAPDH,Gap,0528,,,,354035.0,254592.0,401676.0,302901.0,886122.0,1006460.0,970240.0,1139641.0,653018.25,675898.5
11,carb_glucneo_1.2.1.13_GAPDHSYNEC__RXN_NADP,GAPDH,Gap,0528,,,,354035.0,254592.0,401676.0,302901.0,886122.0,1006460.0,970240.0,1139641.0,653018.25,675898.5
12,carb_enter_glucneo_2.7.2.3_PHOSGLYPHOS__RXN,PGK,pgk,0527,,,,347112.0,161112.0,236900.0,147647.0,444239.0,414736.0,1370040.0,1248348.0,599572.75,492960.75
13,carb_enter_glucneo_1.2.1.9_1.2.1.9__RXN,GAPN,Gapn,3194,,,,661454.0,192780.0,603720.0,234751.0,611077.0,362452.0,719216.0,391405.0,648866.75,295347.0
14,other_no__pathway_3.6.1.7_BS165362,Spontaneous,(Spontaneous degradation),spontaneous,,,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
15,carb_enter_glucneo_5.4.2.1_3PGAREARR__RXN,PGM,pgm,"0417,2236",or,,,42850.0,70380.0,62100.0,81175.0,97694.0,144728.0,95488.0,105623.0,74533.0,100476.5
16,carb_entner_1.2.1.89_GLYCERALDEHYDE__DEHYDRO__RXN,ALDH,,"2636,2637,2639",and,,,469950.0,114080.0,169740.0,100136.0,727662.0,488852.0,2023664.0,1356652.0,847754.0,514930.0
17,carb_entner_2.7.1.165_GKI__RXN,GK,,0666,,,,214900.0,130928.0,180712.0,122787.0,205425.0,110592.0,230364.0,262616.0,207850.25,156730.75
18,carb_enter_glucneo_4.2.1.11_2PGADEHYDRAT__RXN,ENO,eno,0913,,,,251648.0,284544.0,239540.0,208012.0,343901.0,384888.0,808012.0,823785.0,410775.25,425307.25
19,carb_enter_2.7.1.40_PEPDEPHOS__RXN,PK,,0981,,,,124443.0,246100.0,117760.0,230242.0,204233.0,224000.0,322048.0,530130.0,192121.0,307618.0
20,other_lactate__biosynthesis_3__dehydroquinate__biosynthesis_RXN__8075,Methylglyoxal pathway,(methylglyoxal pathway)，Refer to uniport(https://www.uniprot.org/uniprot/?query=dehydroquinate+solfataricus&sort=score),0305,,,,350178.0,151040.0,193280.0,138352.0,237680.0,294840.0,1789952.0,1414355.0,642772.5,499646.75
21,spontaneous_lactate__biosynthesis_3__dehydroquinate__biosynthesis_RXN__10054,Methylglyoxal pathway,,spontaneous,,,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
