,reaction_id,Reaction name,pathway,genes,gene_reaction_rule,Unnamed: 5,Unnamed: 6,Array_67 70,Array_67 80,Array_68 70,Array_68 80,Array_86 70,Array_86 80,Array_85 70,Array_85 80,average_list_column_70,average_list_column_80
0,T_ABC__transporter_beta__D__glucose,ABC transport,,"28,473,066,284,830,600,000,000,000,000,000",and,,,142229,63180,,,196101,99840,215040,141324,184456.6667,101448
1,carb_entner_1.1.1.359_GLUCOSE__1__DEHYDROGENASE__NAD+__RXN,GDH,,"300,330,423,204",or,,,105265,111072,134460,107596,134495,154112,150784,92612,131251,116348
2,carb_entner_1.1.1.47_GLUCOSE__1__DEHYDROGENASE__NAD+__RXN,GDH,,"300,330,423,204",or,,,105265,111072,134460,107596,134495,154112,150784,92612,131251,116348
3,carb_entner_1.1.1.360_GLUCOSE__1__DEHYDROGENASE__NADP+__RXN,GDH,,"300,330,423,204",or,,,105265,111072,134460,107596,134495,154112,150784,92612,131251,116348
4,carb_entner_3.1.1.17_GLUCONOLACT__RXN,GL,,spontaneous,,,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5,carb_entner_4.2.1.140_GLUCONATE__DEHYDRATASE__RXN,GAD,,3198,,,,280937,74892,133668,70795,757917,331520,2173764,947797,836571.5,356251
6,carb_degra__glucose_4.2.1.9_GLUCONATE__DEHYDRATASE__RXN,GAD,,3198,,,,280937,74892,133668,70795,757917,331520,2173764,947797,836571.5,356251
7,carb_entner_2.7.1.178_DEOXYGLUCONOKIN__RXN,KDGK,,3195,,,,125645,149136,137904,130623,260022,259440,641520,474224,291272.75,253355.75
8,carb_entner_4.1.2.55_KDPGALDOL__RXN,KDPGA,,3197,,,,227031,124584,,,503293,293120,1061632,623200,597318.6667,346968
9,carb_entner_4.1.2.55_DHDOGALDOL__RXN,KDPGA,", (Non-phosphorylative pathway)",3197,,,,227031,124584,,,503293,293120,1061632,623200,597318.6667,346968
10,carb_glucneo_1.2.1.13_GAPDHSYNEC__RXN_NAD,GAPDH,Gap,528,,,,354035,254592,401676,302901,886122,1006460,970240,1139641,653018.25,675898.5
11,carb_glucneo_1.2.1.13_GAPDHSYNEC__RXN_NADP,GAPDH,Gap,528,,,,354035,254592,401676,302901,886122,1006460,970240,1139641,653018.25,675898.5
